job_id,job_title,company,location,experience,salaries,skill,job_type,open_postions
10,Data Analyst,Confidential -,"Heliopolis, Cairo, Egypt",· 2 - 6 Yrs of Exp,Confidential,analytical,Full Time,3
10,Data Analyst,Confidential -,"Heliopolis, Cairo, Egypt",· 2 - 6 Yrs of Exp,Confidential,Analyst,Full Time,3
10,Data Analyst,Confidential -,"Heliopolis, Cairo, Egypt",· 2 - 6 Yrs of Exp,Confidential,Data,Full Time,3
10,Data Analyst,Confidential -,"Heliopolis, Cairo, Egypt",· 2 - 6 Yrs of Exp,Confidential,Data Analyst,Full Time,3
11,Data Management Engineer,Ejada -,"Cairo, Egypt",· 3 - 5 Yrs of Exp,Confidential,Computer Science,Full Time,4
11,Data Management Engineer,Ejada -,"Cairo, Egypt",· 3 - 5 Yrs of Exp,Confidential,Data Engineering,Full Time,4
12,Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt",· 1 - 3 Yrs of Exp,Confidential,Analysis,Full Time,1
12,Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt",· 1 - 3 Yrs of Exp,Confidential,BI,Full Time,1
12,Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt",· 1 - 3 Yrs of Exp,Confidential,Computer Science,Full Time,1
12,Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt",· 1 - 3 Yrs of Exp,Confidential,Data,Full Time,1
12,Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt",· 1 - 3 Yrs of Exp,Confidential,analytical,Full Time,1
12,Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt",· 1 - 3 Yrs of Exp,Confidential,Information Technology (IT),Full Time,1
12,Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt",· 1 - 3 Yrs of Exp,Confidential,Reporting,Full Time,1
12,Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt",· 1 - 3 Yrs of Exp,Confidential,Python,Full Time,1
12,Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt",· 1 - 3 Yrs of Exp,Confidential,Statistics,Full Time,1
12,Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt",· 1 - 3 Yrs of Exp,Confidential,SQL,Full Time,1
12,Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt",· 1 - 3 Yrs of Exp,Confidential,Economics,Full Time,1
12,Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt",· 1 - 3 Yrs of Exp,Confidential,Data Analysis,Full Time,1
13,Data Scientist Manager,Tamweely -,"Shubra, Cairo, Egypt",· 7 - 10 Yrs of Exp,Confidential,Data,Full Time,1
13,Data Scientist Manager,Tamweely -,"Shubra, Cairo, Egypt",· 7 - 10 Yrs of Exp,Confidential,Data Analysis,Full Time,1
13,Data Scientist Manager,Tamweely -,"Shubra, Cairo, Egypt",· 7 - 10 Yrs of Exp,Confidential,Economics,Full Time,1
