,job title,company,location,experience,salaries,skills,job type,open postions
0,Data Analyst,Nugttah -,"Cairo, Egypt",· 1 - 4 Yrs of Exp,Confidential,"['Computer Science', 'Information Technology (IT)', 'Data Analysis', 'Data visualization', 'Data']",Full Time,unknown
1,Data Analyst (On-Site),Union Coop -,"Dokki, Giza, Egypt",· 6+ Yrs of Exp,Confidential,"['Computer Science', 'Power BI', 'SSIS', 'SSRS', 'SSAS', 'Data Warehouse', 'Information Technology (IT)', 'ETL', 'SQL', 'Oracle', 'Design', 'Telecom Engineering', 'Data Analysis']",Full Time,1
2,Data Scientist,Paymob Solutions -,"Maadi, Cairo, Egypt",· 2 - 3 Yrs of Exp,Confidential,"['Computer Science', 'Data', 'Data Science', 'data scientist', 'Engineering', 'Information Technology (IT)', 'Python', 'Software Engineering', 'SQL', 'Statistics', 'Neural Networks', 'Math']",Full Time,1
3,Data Entry - Ain El Sokhna (Multinational Logistics CO.),Pillars -,"Ain Sokhna, Suez, Egypt",· 2 - 4 Yrs of Exp,Confidential,"['Arabic', 'Data', 'Data Entry', 'Microsoft', 'Microsoft Office', 'Typing', 'Business English', 'Administration']",Full Time,2
4,Senior Data Engineer (Hybrid),SSC Egypt -,"New Cairo, Cairo, Egypt",· 4 - 5 Yrs of Exp,Confidential,"['cloudera', 'Computer Engineering', 'Data', 'Data Modeling', 'Modeling', 'Spark']",Full Time,unknown
5,WMS - Data entry coordinator,Logistica -,"6th of October, Giza, Egypt",· 1 - 3 Yrs of Exp,Confidential,"['SAP', 'WMS', 'Data Entry', 'Microsoft Excel']",Full Time,1
6,Data Entry,El Sewedy Technical Academy -,"10th of Ramadan City, Sharqia, Egypt",· 1 - 4 Yrs of Exp,5000 To 7000 EGP Per Month,"['Data Entry', 'Data', '#qualityassurance']",Full Time,1
7,Data Entry Clerk,Meezy -,"Gent, Belgium",· 1 - 2 Yrs of Exp,"Confidential, - Perk Program - Free Plane Tickets - Free Sport Class","['Data Entry', 'CMS', 'Microsoft Excel', 'Ecommerce']",Full Time,3
8,Big Data Management Informatica (BDM) Engineer,Ejada -,"Riyadh, Saudi Arabia",· 3 - 6 Yrs of Exp,Confidential,"['Big Data', 'data quality', 'HBase', 'HDFS', 'impala', 'Informatica', 'quality', 'Spark', 'Apache Hive', 'Hadoop', 'HiveQL', 'Apache HBase', 'Impala']",Full Time,2
9,Data Entry Specialist (Night Shift Only),Micro Engineering -,"Cairo, Egypt",· 0 Yrs of Exp,4000 To 4500 EGP Per Month,"['Administration', 'Customer Service', 'Data Entry', 'Microsoft Office', 'Skills', 'computer', 'quality', 'reports']",Full Time,10
10,Data Scientist,Monty Mobile -,"Cairo, Egypt",· 1 - 10 Yrs of Exp,Confidential,"['Data Science', 'Python', 'Information Technology (IT)']",Full Time,2
11,Fleet Data Analyst,Seoudi Supermarket -,"Giza, Egypt",· 3 - 4 Yrs of Exp,Confidential,"['Analyst', 'analytical', 'Data', 'Data Analyst', 'Finance', 'Data Analysis', 'Analysis']",Full Time,4
12,Data Entry Specialist (Part-time on Weekends),Micro Engineering -,"Heliopolis, Cairo, Egypt",· 0 Yrs of Exp,2000 To 2500 EGP Per Month,"['computer', 'Data Entry', 'Microsoft Office', 'reports', 'quality', 'Skills', 'students', 'social', 'Administration']",Part Time,10
13,Data Entry Specialist,Micro Engineering -,"Heliopolis, Cairo, Egypt",· 0 Yrs of Exp,3500 To 4500 EGP Per Month,"['Microsoft Office', 'quality', 'reports', 'Skills', 'computer', 'Data Entry', 'students']",Full Time,30
